"","event.id","player_id","lastname","firstname","position","team_id","x_loc","y_loc","radius","game_clock","shot_clock","quarter","pointsMadeAfterRebound","homeOrVisitor","rebounder","velocity","GameID"
"38",16,"-1","ball",NA,NA,NA,5.28085,24.77807,9.79674,607.28,24,1,1,1,"Drummond",2.78820106444717,"0021500025"
"39",16,"201565","Rose","Derrick","G",1610612741,6.07621,24.57604,0,607.28,24,1,1,1,"Drummond",7.19706131489326,"0021500025"
"40",16,"203503","Snell","Tony","F",1610612741,6.41424,23.10767,0,607.28,24,1,1,1,"Drummond",5.66230649572904,"0021500025"
"41",16,"202704","Jackson","Reggie","G",1610612765,9.52896,20.96471,0,607.28,24,1,1,1,"Drummond",6.04631135131543,"0021500025"
"42",16,"101141","Ilyasova","Ersan","F",1610612765,50.61538,21.07684,0,607.28,24,1,1,1,"Drummond",2.94330088997198,"0021500025"
"43",16,"202703","Mirotic","Nikola","F",1610612741,15.66294,19.33703,0,607.28,24,1,1,1,"Drummond",3.48846243216548,"0021500025"
"44",16,"2200","Gasol","Pau","F-C",1610612741,6.96001,26.59795,0,607.28,24,1,1,1,"Drummond",2.81431366660962,"0021500025"
"45",18,"-1","ball",NA,NA,NA,5.28085,24.77807,9.79674,607.28,24,1,1,1,"Drummond",2.78820106444717,"0021500025"
"46",18,"202710","Butler","Jimmy","G-F",1610612741,6.22978,25.45839,0,607.28,24,1,1,1,"Drummond",10.4647302650176,"0021500025"
"47",18,"203083","Drummond","Andre","C",1610612765,6.55461,22.41451,0,607.28,24,1,1,1,"Drummond",3.00914845006604,"0021500025"
"48",18,"203484","Caldwell-Pope","Kentavious","G",1610612765,46.96244,12.61858,0,607.28,24,1,1,1,"Drummond",6.02052052002529,"0021500025"
"49",18,"201565","Rose","Derrick","G",1610612741,6.07621,24.57604,0,607.28,24,1,1,1,"Drummond",7.19706131489326,"0021500025"
"50",18,"202703","Mirotic","Nikola","F",1610612741,15.66294,19.33703,0,607.28,24,1,1,1,"Drummond",3.48846243216548,"0021500025"
"51",18,"202694","Morris","Marcus","F",1610612765,52.6249,33.55694,0,607.28,24,1,1,1,"Drummond",4.54208217370235,"0021500025"
"52",18,"202704","Jackson","Reggie","G",1610612765,9.52896,20.96471,0,607.28,24,1,1,1,"Drummond",6.04631135131543,"0021500025"
"53",18,"203503","Snell","Tony","F",1610612741,6.41424,23.10767,0,607.28,24,1,1,1,"Drummond",5.66230649572904,"0021500025"
"54",18,"101141","Ilyasova","Ersan","F",1610612765,50.61538,21.07684,0,607.28,24,1,1,1,"Drummond",2.94330088997198,"0021500025"
"55",18,"2200","Gasol","Pau","F-C",1610612741,6.96001,26.59795,0,607.28,24,1,1,1,"Drummond",2.81431366660962,"0021500025"
"56",21,"201565","Rose","Derrick","G",1610612741,6.07621,24.57604,0,607.28,24,1,2,1,"Drummond",7.19706131489326,"0021500025"
"57",21,"202710","Butler","Jimmy","G-F",1610612741,6.22978,25.45839,0,607.28,24,1,2,1,"Drummond",10.4647302650176,"0021500025"
"58",21,"203484","Caldwell-Pope","Kentavious","G",1610612765,46.96244,12.61858,0,607.28,24,1,2,1,"Drummond",6.02052052002529,"0021500025"
"59",21,"-1","ball",NA,NA,NA,5.28085,24.77807,9.79674,607.28,24,1,2,1,"Drummond",2.78820106444717,"0021500025"
"60",21,"202704","Jackson","Reggie","G",1610612765,9.52896,20.96471,0,607.28,24,1,2,1,"Drummond",6.04631135131543,"0021500025"
"61",21,"203083","Drummond","Andre","C",1610612765,6.55461,22.41451,0,607.28,24,1,2,1,"Drummond",3.00914845006604,"0021500025"
"62",21,"202703","Mirotic","Nikola","F",1610612741,15.66294,19.33703,0,607.28,24,1,2,1,"Drummond",3.48846243216548,"0021500025"
"63",21,"101141","Ilyasova","Ersan","F",1610612765,50.61538,21.07684,0,607.28,24,1,2,1,"Drummond",2.94330088997198,"0021500025"
"64",21,"202694","Morris","Marcus","F",1610612765,52.6249,33.55694,0,607.28,24,1,2,1,"Drummond",4.54208217370235,"0021500025"
"65",21,"2200","Gasol","Pau","F-C",1610612741,6.96001,26.59795,0,607.28,24,1,2,1,"Drummond",2.81431366660962,"0021500025"
"66",21,"203503","Snell","Tony","F",1610612741,6.41424,23.10767,0,607.28,24,1,2,1,"Drummond",5.66230649572904,"0021500025"
"67",23,"201565","Rose","Derrick","G",1610612741,53.83305,20.37827,0,589.53,22.72,1,2,2,"Gasol",3.64244630408332,"0021500025"
"68",23,"203503","Snell","Tony","F",1610612741,56.27981,12.51998,0,589.53,22.72,1,2,2,"Gasol",7.06700874497704,"0021500025"
